college_code,college_name,type,region,district,local_area
SRIP,"SAI RAJESWARI INSTITUTE OF
TECHNOLOGY",PVT,,KDP,SVU
SRSR,"SRI SAI INSTITUTE OF TECHNOLOGY.
AND SCI.",PVT,,KDP,SVU
SRTS,"SRINIVASA INST OF TECHNOLOGY  AND
SCIENCE",PVT,,KDP,SVU
SVCEOC,"SRI VENKATESWARA COLLEGE OF
ENGINEERING-OFF CAMPUS",PVT,,KDP,SVU
SVIK,"SRI VENKATESWARA INST. OF SCIENCE
AND TECHNOLOGY",PVT,,KDP,SVU
YGVU,"YGVU YSR ENGINEERING COLLEGE",UNIV,,KDP,SVU
ASKW,"ASHOKA WOMEN'S ENGINEERING
COLLEGE",PVT,,KNL,SVU
ASKWOC,"ASHOKA WOMEN'S ENGINEERING
COLLEGE-OFF CAMPUS",PVT,,KNL,SVU
ASVR,"SVR ENGINEERING COLLEGE",PVT,,KNL,SVU
BEMA,"BHEEMA INST OF TECHNOLOGY AND SCI",PVT,,KNL,SVU
BRNK,"BRINDAVAN INST OF TECHNOLOGY AND
SCI",PVT,,KNL,SVU
GPRE,"G PULLA REDDY ENGINEERING. COLLEGE",PVT,,KNL,SVU
JNYP,"ST.JOHNS COLLEGE OF PHARM SCI",PVT,,KNL,SVU
JONY,"ST. JOHNS COLLEGE OF ENGG. AND
TECHNOLOGY",PVT,,KNL,SVU
KVSR,"DR.K.V.SUBBA REDDY INST. OF
TECHNOLOGY",PVT,,KNL,SVU
PCEK,"G.PULLAIAH COLL. OF ENGG. AND
TECHNOLOGY",PVT,,KNL,SVU
RAVW,"RAVINDRA COLLEGE OF ENGG FOR
WOMEN",PVT,,KNL,SVU
RGIT,"RAJIV GANDHI MEMORIAL COLLEGE OF
ENGG. AND TECH.",PVT,,KNL,SVU
RUCESF,"RAYALASEEMA UNIVERSITY COLLEGE OF
ENGG-SELF FINANCE",SF,,KNL,SVU
SRCN,"SANTHIRAM COLLEGE OF PHARMACY",PVT,,KNL,SVU
SREC,"SANTHIRAM ENGINEERING COLLEGE",PVT,,KNL,SVU
AECN,"ANDHRA ENGINEERING COLLEGE",PVT,,NLR,SVU
ASET,"AUDISANKARA COLLEGE OF ENGG AND
TECHNOLOGY",PVT,,NLR,SVU
DSIT,"DAMISETTY BALA SURESH INST OF
TECHNOLOGY",PVT,,NLR,SVU
GKCS,"GOKULA KRISHNA COLLEGE OF
ENGINEERING",PVT,,NLR,SVU
GTNN,"GEETHANJALI INST OF SCIENCE AND
TECHNOLOGY",PVT,,NLR,SVU
NARN,"NARAYANA ENGINEERING COLLEGE",PVT,,NLR,SVU
NBKR,"NBKR INSTITUTE OF SCI. AND
TECHNOLOGY",PVT,,NLR,SVU
NRNG,"NARAYANA ENGINEERING COLLEGE",PVT,,NLR,SVU
PRIK,"PRIYADARSHINI COLL OF ENGG. AND
TECHNOLOGY",PVT,,NLR,SVU
RSRN,"RAMIREDDY SUBBA RAMIREDDY ENGG
COLLEGE",PVT,,NLR,SVU
SRPN,"SASHIKANTH REDDY COLL OF PHARM",PVT,,NLR,SVU
SVCN,"SREE VENKATESWARA COLL OF ENGG",PVT,,NLR,SVU
VITK,"P B R VISVODAYA INSTITUTE OF
TECHNOLOGY AND SCI.",PVT,,NLR,SVU
BESTPU,"BHARATIYA ENGG SCI. &TECH
INNOVATION UNIVERSITY",PU,,ATP,AU
CAMS,"COLLEGE OF AGRICULTURAL
ENGINEERING",UNIV,,ATP,SVU
AIPS,"APOLLO UNIVERSITY (APOLLO INSTITUTE OF PHARAMACEUTICAL
SCIEN",PU,,CTR,SVU
APUCPU,"APOLLO UNIVERSITY",PU,,CTR,AU
CVST,"SVVU COLLEGE OF DAIRY TECHNOLOGY",UNIV,,CTR,AU
DRAVSF,"DRAVIDIAN UNIVERSITY COLLEGE OF
ENGG & TECH -SELF FINANACE",SF,,CTR,AU
MBUTPU,"MOHAN BABU UNIVERSITY",PU,,CTR,AU
SPMS,"INST. OF PHARM. TECH. S P MAHILA
VISWA VIDYALAYAM",UNIV,,CTR,AU
SPMUSF,"SCHOOL OF ENGG. TECH. SPMVV - SELF
FINANCE",SF,,CTR,AU
ADTPPU,"ADITYA  UNIVERSITY",PU,,EG,AU
